flight_id,airline,source,destination,travel_month,days_before_booking,stops,duration_hours,ticket_price
FLT0169,Air India,Delhi,Chennai,6,84.0,1 Stop,2.8,5684.0
FLT0170,Akasa Air,Mumbai,Goa,7,4.0,1 Stop,8.7,12054.0
FLT0171,Air India,Bangalore,Pune,8,10.0,1 Stop,8.4,11469.0
FLT0172,Vistara,Bangalore,Goa,7,30.0,1 Stop,9.1,16533.0
FLT0173,IndiGo,Bangalore,Hyderabad,11,55.0,2 Stops,8.9,10615.0
FLT0174,Akasa Air,Bangalore,Chennai,3,45.0,1 Stop,9.6,11189.0
FLT0175,IndiGo,Kolkata,Pune,9,23.0,1 Stop,3.1,4417.0
FLT0176,IndiGo,Delhi,Bangalore,12,43.0,1 Stop,9.4,12289.0
FLT0177,Air India,Mumbai,Bangalore,3,41.0,1 Stop,6.1,11258.0
FLT0178,Akasa Air,Delhi,Chennai,4,63.0,Non-stop,4.8,7492.0
FLT0179,Akasa Air,Mumbai,Goa,6,68.0,1 Stop,6.0,10049.0
FLT0180,SpiceJet,Kolkata,Goa,9,106.0,1 Stop,4.1,6805.0
FLT0181,Akasa Air,Delhi,Chennai,12,97.0,2 Stops,3.6,4798.0
FLT0182,Akasa Air,Bangalore,Chennai,10,36.0,1 Stop,3.2,4796.0
FLT0183,Vistara,Delhi,Bangalore,10,109.0,1 Stop,1.7,7280.0
FLT0184,Air India,Hyderabad,Chennai,6,63.0,2 Stops,5.5,7354.0
FLT0185,GoAir,Kolkata,Bangalore,8,23.0,1 Stop,9.0,9377.0
FLT0186,SpiceJet,Mumbai,Kolkata,3,41.0,Non-stop,6.7,10389.0
FLT0187,Air India,Mumbai,Bangalore,6,90.0,Non-stop,5.7,12944.0
FLT0188,IndiGo,Delhi,Bangalore,3,99.0,Non-stop,4.9,12075.0
FLT0189,SpiceJet,Bangalore,Goa,1,45.0,Non-stop,5.2,9568.0
FLT0190,IndiGo,Kolkata,Bangalore,11,19.0,1 Stop,2.9,5159.0
FLT0191,Akasa Air,Chennai,Delhi,10,24.0,1 Stop,8.4,10695.0
FLT0192,IndiGo,Hyderabad,Chennai,7,13.0,1 Stop,2.8,3065.0
FLT0193,IndiGo,Bangalore,Kolkata,1,84.0,Non-stop,7.4,12278.0
FLT0194,GoAir,Mumbai,Delhi,2,61.0,1 Stop,7.8,11215.0
FLT0195,IndiGo,Bangalore,Hyderabad,2,55.0,Non-stop,6.2,9834.0
FLT0196,IndiGo,Mumbai,Bangalore,9,81.0,2 Stops,8.8,10257.0
FLT0197,Vistara,Hyderabad,Kolkata,3,100.0,Non-stop,3.6,8524.0
FLT0198,GoAir,Mumbai,Hyderabad,4,96.0,1 Stop,8.9,11170.0
FLT0199,IndiGo,Bangalore,Goa,11,17.0,Non-stop,7.6,13737.0
FLT0200,Air India,Chennai,Pune,11,71.0,1 Stop,8.2,10067.0
FLT0201,GoAir,Delhi,Pune,10,106.0,Non-stop,7.0,8988.0
FLT0202,Akasa Air,Bangalore,Mumbai,4,93.0,1 Stop,8.6,11833.0
FLT0203,Vistara,Bangalore,Pune,7,40.0,Non-stop,9.9,17591.0
FLT0204,IndiGo,Mumbai,Kolkata,3,48.0,2 Stops,4.8,7444.0
FLT0205,IndiGo,Delhi,Pune,11,107.0,1 Stop,8.3,11241.0
FLT0206,IndiGo,Delhi,Pune,2,4.0,1 Stop,7.7,9136.0
FLT0207,IndiGo,Delhi,Kolkata,9,64.0,1 Stop,5.1,6716.0
FLT0208,SpiceJet,Bangalore,Pune,7,14.0,2 Stops,9.3,7793.0
FLT0209,IndiGo,Delhi,Kolkata,10,108.0,Non-stop,4.5,9078.0
FLT0210,Vistara,Hyderabad,Pune,6,5.0,Non-stop,6.1,9581.0
FLT0211,SpiceJet,Mumbai,Goa,2,3.0,Non-stop,2.0,4838.0
FLT0212,Vistara,Chennai,Goa,10,40.0,Non-stop,3.0,8503.0
FLT0213,IndiGo,Kolkata,Mumbai,8,25.0,1 Stop,8.6,10475.0
FLT0214,GoAir,Bangalore,Kolkata,6,60.0,2 Stops,4.6,5180.0
FLT0215,SpiceJet,Hyderabad,Delhi,5,36.0,2 Stops,4.5,5333.0
FLT0216,SpiceJet,Delhi,Hyderabad,5,43.0,1 Stop,3.2,5381.0
FLT0217,IndiGo,Mumbai,Goa,6,68.0,1 Stop,5.4,10327.0
FLT0218,IndiGo,Mumbai,Delhi,4,68.0,1 Stop,8.3,12288.0
FLT0219,Akasa Air,Delhi,Hyderabad,4,113.0,2 Stops,9.1,9606.0
FLT0220,Air India,Mumbai,Goa,4,58.0,Non-stop,1.6,5771.0
FLT0221,Air India,Mumbai,Pune,1,68.0,1 Stop,6.2,8714.0
FLT0222,Vistara,Kolkata,Chennai,12,82.0,1 Stop,5.2,9400.0
FLT0223,SpiceJet,Mumbai,Delhi,3,21.0,Non-stop,6.5,10503.0
FLT0224,Akasa Air,Hyderabad,Goa,2,81.0,1 Stop,5.0,7576.0
FLT0225,Air India,Kolkata,Goa,2,104.0,2 Stops,4.6,6479.0
FLT0226,Akasa Air,Hyderabad,Kolkata,12,39.0,2 Stops,5.2,5343.0
FLT0227,IndiGo,Delhi,Goa,6,22.0,2 Stops,6.2,9236.0
FLT0228,Vistara,Hyderabad,Delhi,4,42.0,1 Stop,5.5,9504.0
FLT0229,SpiceJet,Chennai,Kolkata,5,34.0,Non-stop,5.2,6873.0
FLT0230,IndiGo,Hyderabad,Delhi,2,71.0,Non-stop,8.4,13795.0
FLT0231,IndiGo,Bangalore,Goa,4,104.0,1 Stop,7.7,12139.0
FLT0232,Air India,Hyderabad,Kolkata,3,72.0,1 Stop,4.1,6999.0
FLT0233,Akasa Air,Chennai,Goa,10,16.0,1 Stop,8.2,10410.0
FLT0234,Vistara,Delhi,Kolkata,1,38.0,1 Stop,8.7,13748.0
FLT0235,Akasa Air,Bangalore,Delhi,6,83.0,Non-stop,2.4,6019.0
FLT0236,GoAir,Delhi,Pune,10,40.0,1 Stop,6.2,8222.0
FLT0237,Vistara,Hyderabad,Bangalore,11,71.0,Non-stop,3.6,10166.0
FLT0238,GoAir,Mumbai,Hyderabad,7,84.0,Non-stop,7.7,11246.0
FLT0239,IndiGo,Mumbai,Kolkata,3,40.0,Non-stop,3.1,7001.0
FLT0240,IndiGo,Chennai,Pune,5,78.0,Non-stop,7.0,9382.0
FLT0241,GoAir,Bangalore,Mumbai,3,48.0,,3.3,6441.0
FLT0242,GoAir,Delhi,Chennai,8,17.0,1 Stop,5.6,6038.0
FLT0243,IndiGo,Kolkata,Mumbai,4,45.0,Non-stop,9.5,14761.0
FLT0244,Vistara,Hyderabad,Chennai,8,53.0,1 Stop,4.4,6629.0
FLT0245,Vistara,Kolkata,Chennai,8,1.0,1 Stop,8.9,11549.0
FLT0246,GoAir,Chennai,Delhi,12,108.0,Non-stop,9.9,13517.0
FLT0247,Vistara,Bangalore,Kolkata,5,64.0,Non-stop,8.9,17599.0
FLT0248,Air India,Chennai,Pune,12,5.0,Non-stop,2.5,4069.0
FLT0249,Air India,Chennai,Goa,5,105.0,1 Stop,8.4,13880.0
FLT0250,Air India,Delhi,Bangalore,9,103.0,Non-stop,1.3,7316.0
FLT0251,SpiceJet,Delhi,Goa,8,2.0,Non-stop,4.5,8682.0
FLT0252,GoAir,Mumbai,Goa,10,20.0,Non-stop,8.8,13061.0
FLT0253,Air India,Bangalore,Goa,6,44.0,1 Stop,7.2,12627.0
FLT0254,IndiGo,Delhi,Bangalore,10,61.0,Non-stop,5.8,11093.0
FLT0255,IndiGo,Delhi,Pune,5,88.0,1 Stop,4.5,7633.0
FLT0256,SpiceJet,Hyderabad,Kolkata,6,51.0,Non-stop,8.3,10527.0
FLT0257,GoAir,Bangalore,Delhi,6,74.0,1 Stop,7.4,9778.0
FLT0258,IndiGo,Chennai,Bangalore,9,2.0,1 Stop,5.2,7348.0
FLT0259,IndiGo,Chennai,Hyderabad,8,80.0,1 Stop,9.0,10666.0
FLT0260,Vistara,Kolkata,Mumbai,1,110.0,Non-stop,3.1,9442.0
FLT0261,IndiGo,Kolkata,Chennai,10,64.0,1 Stop,2.5,4578.0
FLT0262,GoAir,Mumbai,Pune,10,55.0,2 Stops,6.8,7758.0
FLT0263,Air India,Hyderabad,Mumbai,2,36.0,Non-stop,9.7,16446.0
FLT0264,IndiGo,Bangalore,Chennai,12,115.0,Non-stop,3.2,7997.0
FLT0265,Akasa Air,Hyderabad,Mumbai,8,4.0,2 Stops,3.2,5377.0
FLT0266,IndiGo,Bangalore,Kolkata,2,35.0,1 Stop,2.3,4393.0
FLT0267,Air India,Delhi,Mumbai,6,17.0,Non-stop,8.7,17080.0
FLT0268,IndiGo,Kolkata,Goa,11,104.0,Non-stop,3.0,8105.0
FLT0269,IndiGo,Delhi,Chennai,4,58.0,1 Stop,5.5,9892.0
FLT0270,IndiGo,Kolkata,Goa,12,111.0,1 Stop,9.9,13207.0
FLT0271,IndiGo,Delhi,Pune,6,80.0,1 Stop,1.1,3266.0
FLT0272,IndiGo,Mumbai,Pune,3,67.0,2 Stops,6.0,7488.0
FLT0273,IndiGo,Chennai,Pune,5,63.0,1 Stop,5.6,7441.0
FLT0274,Vistara,Hyderabad,Mumbai,7,25.0,Non-stop,8.3,16909.0
FLT0275,SpiceJet,Bangalore,Goa,9,68.0,1 Stop,4.2,6690.0
FLT0276,Air India,Delhi,Kolkata,12,83.0,Non-stop,4.7,10707.0
FLT0277,Air India,Mumbai,Goa,3,116.0,Non-stop,2.5,9253.0
FLT0278,Vistara,Hyderabad,Goa,12,66.0,Non-stop,7.7,16511.0
FLT0279,GoAir,Kolkata,Hyderabad,7,113.0,Non-stop,8.1,9745.0
FLT0280,GoAir,Delhi,Bangalore,2,114.0,1 Stop,2.2,5821.0
FLT0281,IndiGo,Bangalore,Delhi,12,63.0,Non-stop,4.5,10062.0
FLT0282,IndiGo,Mumbai,Delhi,5,53.0,1 Stop,9.0,13218.0
FLT0283,IndiGo,Mumbai,Chennai,8,18.0,1 Stop,1.0,3272.0
FLT0284,IndiGo,Hyderabad,Pune,9,33.0,1 Stop,3.7,5052.0
FLT0285,Vistara,Chennai,Kolkata,1,106.0,1 Stop,6.0,10554.0
FLT0286,Air India,Mumbai,Chennai,3,17.0,1 Stop,4.0,7362.0
FLT0287,IndiGo,Chennai,Mumbai,9,48.0,1 Stop,3.4,5908.0
FLT0288,Air India,Bangalore,Kolkata,4,84.0,Non-stop,5.1,10012.0
FLT0289,Vistara,Delhi,Hyderabad,1,29.0,1 Stop,2.6,5104.0
FLT0290,IndiGo,Bangalore,Goa,1,117.0,1 Stop,5.8,9627.0
FLT0291,GoAir,Mumbai,Hyderabad,10,78.0,Non-stop,7.4,10488.0
FLT0292,IndiGo,Mumbai,Kolkata,2,4.0,Non-stop,6.2,10011.0
FLT0293,Akasa Air,Hyderabad,Goa,2,30.0,Non-stop,1.8,4649.0
FLT0294,IndiGo,Kolkata,Chennai,7,89.0,1 Stop,8.6,10881.0
FLT0295,GoAir,Delhi,Goa,2,104.0,Non-stop,2.6,5950.0
FLT0296,Akasa Air,Hyderabad,Bangalore,8,112.0,Non-stop,7.9,12814.0
FLT0297,Akasa Air,Chennai,Mumbai,7,103.0,1 Stop,4.2,6705.0
FLT0298,GoAir,Hyderabad,Chennai,8,9.0,2 Stops,8.0,6554.0
FLT0299,GoAir,Kolkata,Mumbai,6,88.0,Non-stop,2.9,6741.0
FLT0300,SpiceJet,Bangalore,Delhi,10,14.0,2 Stops,2.7,2929.0
FLT0301,GoAir,Chennai,Goa,8,10.0,Non-stop,5.5,7595.0
FLT0302,IndiGo,Chennai,Pune,5,84.0,2 Stops,1.3,3868.0
FLT0303,Vistara,Kolkata,Mumbai,1,58.0,2 Stops,3.0,5279.0
FLT0304,Vistara,Mumbai,Pune,4,78.0,Non-stop,7.5,15442.0
FLT0305,GoAir,Mumbai,Delhi,2,103.0,1 Stop,8.5,11961.0
FLT0306,Vistara,Mumbai,Bangalore,1,9.0,2 Stops,1.7,4438.0
FLT0307,Air India,Mumbai,Hyderabad,4,64.0,2 Stops,8.9,11345.0
FLT0308,SpiceJet,Delhi,Bangalore,3,101.0,2 Stops,8.2,10366.0
FLT0309,IndiGo,Delhi,Hyderabad,1,53.0,1 Stop,8.8,10307.0
FLT0310,IndiGo,Hyderabad,Pune,4,63.0,Non-stop,7.3,10157.0
FLT0311,Vistara,Delhi,Pune,7,60.0,1 Stop,7.1,10797.0
FLT0312,Air India,Hyderabad,Delhi,3,109.0,1 Stop,5.7,8846.0
FLT0313,IndiGo,Delhi,Goa,4,6.0,1 Stop,6.9,9369.0
FLT0314,Air India,Kolkata,Pune,1,106.0,Non-stop,9.3,14313.0
FLT0315,Air India,Mumbai,Kolkata,1,98.0,1 Stop,1.9,6281.0
FLT0316,Air India,Chennai,Mumbai,2,98.0,Non-stop,3.8,8844.0
FLT0317,Air India,Mumbai,Chennai,6,50.0,1 Stop,1.7,4178.0
FLT0318,SpiceJet,Bangalore,Hyderabad,8,62.0,Non-stop,9.5,11975.0
FLT0319,Air India,Bangalore,Kolkata,10,45.0,1 Stop,5.0,8669.0
